id,origin_base,origin_location,origin_code,departure_date,departure_time,destination_base,destination_location,destination_code,status,base_price
820,London,Stansted,STN,30/11/2024,10:30,Italy,Florence,FLR,ONTIME,170
821,Italy,Florence,FLR,30/11/2024,06:00,London,Stansted,STN,ONTIME,170
822,Italy,Florence,FLR,30/11/2024,19:30,London,Stansted,STN,ONTIME,170
823,London,Stansted,STN,30/11/2024,07:30,Italy,Naples,NAP,ONTIME,190
824,London,Stansted,STN,30/11/2024,10:30,Italy,Naples,NAP,ONTIME,190
825,London,Stansted,STN,30/11/2024,13:30,Italy,Naples,NAP,ONTIME,190
826,Italy,Rome,FCO,30/11/2024,15:00,London,Luton,LTN,DELAYED,175
827,London,Luton,LTN,30/11/2024,07:30,Italy,Milan,MXP,ONTIME,170
828,London,Luton,LTN,30/11/2024,18:00,Italy,Milan,MXP,ONTIME,170
829,London,Luton,LTN,30/11/2024,19:30,Italy,Milan,MXP,ONTIME,170
830,Italy,Milan,MXP,30/11/2024,10:30,London,Luton,LTN,ONTIME,170
831,London,Luton,LTN,30/11/2024,13:30,Italy,Venice,VCE,ONTIME,175
832,London,Luton,LTN,30/11/2024,21:00,Italy,Venice,VCE,ONTIME,175
833,London,Luton,LTN,30/11/2024,07:30,Italy,Naples,NAP,ONTIME,185
834,London,Luton,LTN,30/11/2024,13:30,Italy,Naples,NAP,ONTIME,185
835,London,Luton,LTN,30/11/2024,19:30,Italy,Naples,NAP,ONTIME,185
836,Italy,Naples,NAP,30/11/2024,21:00,London,Luton,LTN,DELAYED,185
837,London,London City,LCY,30/11/2024,13:30,Italy,Rome,FCO,DELAYED,250
838,Italy,Milan,MXP,30/11/2024,16:30,London,London City,LCY,DELAYED,240
839,Italy,Florence,FLR,30/11/2024,09:00,London,London City,LCY,DELAYED,235
840,London,London City,LCY,30/11/2024,13:30,Italy,Naples,NAP,ONTIME,260
841,London,London City,LCY,30/11/2024,15:00,Italy,Naples,NAP,ONTIME,260
842,Italy,Naples,NAP,30/11/2024,21:00,London,London City,LCY,DELAYED,260
843,London,Heathrow,LHR,01/12/2024,19:30,Italy,Rome,FCO,ONTIME,220
844,Italy,Rome,FCO,01/12/2024,16:30,London,Heathrow,LHR,DELAYED,220
845,London,Heathrow,LHR,01/12/2024,21:00,Italy,Milan,MXP,ONTIME,200
846,Italy,Milan,MXP,01/12/2024,06:00,London,Heathrow,LHR,ONTIME,200
847,Italy,Milan,MXP,01/12/2024,10:30,London,Heathrow,LHR,ONTIME,200
848,Italy,Milan,MXP,01/12/2024,18:00,London,Heathrow,LHR,ONTIME,200
849,London,Heathrow,LHR,01/12/2024,06:00,Italy,Venice,VCE,ONTIME,210
850,London,Heathrow,LHR,01/12/2024,13:30,Italy,Venice,VCE,ONTIME,210
851,London,Heathrow,LHR,01/12/2024,21:00,Italy,Florence,FLR,ONTIME,205
852,Italy,Florence,FLR,01/12/2024,12:00,London,Heathrow,LHR,DELAYED,205
853,Italy,Florence,FLR,01/12/2024,15:00,London,Heathrow,LHR,ONTIME,205
854,Italy,Florence,FLR,01/12/2024,19:30,London,Heathrow,LHR,DELAYED,205
855,London,Heathrow,LHR,01/12/2024,13:30,Italy,Naples,NAP,ONTIME,230
856,London,Heathrow,LHR,01/12/2024,15:00,Italy,Naples,NAP,ONTIME,230
857,London,Heathrow,LHR,01/12/2024,18:00,Italy,Naples,NAP,ONTIME,230
858,Italy,Naples,NAP,01/12/2024,09:00,London,Heathrow,LHR,ONTIME,230
859,London,Gatwick,LGW,01/12/2024,09:00,Italy,Rome,FCO,ONTIME,200
860,London,Gatwick,LGW,01/12/2024,21:00,Italy,Rome,FCO,ONTIME,200
861,Italy,Rome,FCO,01/12/2024,06:00,London,Gatwick,LGW,DELAYED,200
862,Italy,Rome,FCO,01/12/2024,18:00,London,Gatwick,LGW,DELAYED,200
863,Italy,Milan,MXP,01/12/2024,16:30,London,Gatwick,LGW,ONTIME,190
864,Italy,Milan,MXP,01/12/2024,18:00,London,Gatwick,LGW,ONTIME,190
865,London,Gatwick,LGW,01/12/2024,09:00,Italy,Venice,VCE,ONTIME,195
866,London,Gatwick,LGW,01/12/2024,12:00,Italy,Venice,VCE,ONTIME,195
867,London,Gatwick,LGW,01/12/2024,16:30,Italy,Venice,VCE,ONTIME,195
868,Italy,Venice,VCE,01/12/2024,07:30,London,Gatwick,LGW,ONTIME,195
869,Italy,Venice,VCE,01/12/2024,16:30,London,Gatwick,LGW,ONTIME,195
870,Italy,Venice,VCE,01/12/2024,21:00,London,Gatwick,LGW,ONTIME,195
871,London,Gatwick,LGW,01/12/2024,09:00,Italy,Florence,FLR,ONTIME,185
872,London,Gatwick,LGW,01/12/2024,13:30,Italy,Florence,FLR,ONTIME,185
873,London,Gatwick,LGW,01/12/2024,16:30,Italy,Florence,FLR,ONTIME,185
874,London,Gatwick,LGW,01/12/2024,21:00,Italy,Naples,NAP,ONTIME,210
875,Italy,Naples,NAP,01/12/2024,19:30,London,Gatwick,LGW,ONTIME,210
876,London,Stansted,STN,01/12/2024,18:00,Italy,Rome,FCO,ONTIME,180
877,Italy,Rome,FCO,01/12/2024,07:30,London,Stansted,STN,ONTIME,180
878,Italy,Rome,FCO,01/12/2024,16:30,London,Stansted,STN,ONTIME,180
879,London,Stansted,STN,01/12/2024,06:00,Italy,Milan,MXP,ONTIME,175
880,London,Stansted,STN,01/12/2024,12:00,Italy,Milan,MXP,ONTIME,175
881,London,Stansted,STN,01/12/2024,18:00,Italy,Milan,MXP,ONTIME,175
882,London,Stansted,STN,01/12/2024,10:30,Italy,Venice,VCE,ONTIME,180
883,London,Stansted,STN,01/12/2024,15:00,Italy,Venice,VCE,ONTIME,180
884,London,Stansted,STN,01/12/2024,18:00,Italy,Venice,VCE,ONTIME,180
885,Italy,Venice,VCE,01/12/2024,12:00,London,Stansted,STN,ONTIME,180
886,Italy,Venice,VCE,01/12/2024,21:00,London,Stansted,STN,ONTIME,180
887,London,Stansted,STN,01/12/2024,19:30,Italy,Florence,FLR,DELAYED,170
888,London,Stansted,STN,01/12/2024,15:00,Italy,Naples,NAP,DELAYED,190
889,London,Stansted,STN,01/12/2024,18:00,Italy,Naples,NAP,ONTIME,190
890,Italy,Naples,NAP,01/12/2024,09:00,London,Stansted,STN,DELAYED,190
891,Italy,Naples,NAP,01/12/2024,10:30,London,Stansted,STN,ONTIME,190
892,Italy,Naples,NAP,01/12/2024,13:30,London,Stansted,STN,ONTIME,190
893,London,Luton,LTN,01/12/2024,16:30,Italy,Rome,FCO,ONTIME,175
894,London,Luton,LTN,01/12/2024,18:00,Italy,Rome,FCO,ONTIME,175
895,London,Luton,LTN,01/12/2024,21:00,Italy,Rome,FCO,ONTIME,175
896,London,Luton,LTN,01/12/2024,07:30,Italy,Milan,MXP,ONTIME,170
897,London,Luton,LTN,01/12/2024,15:00,Italy,Milan,MXP,ONTIME,170
898,London,Luton,LTN,01/12/2024,07:30,Italy,Venice,VCE,DELAYED,175
899,London,Luton,LTN,01/12/2024,16:30,Italy,Venice,VCE,DELAYED,175
900,London,Luton,LTN,01/12/2024,18:00,Italy,Venice,VCE,DELAYED,175
901,London,Luton,LTN,01/12/2024,10:30,Italy,Florence,FLR,ONTIME,165
902,London,Luton,LTN,01/12/2024,10:30,Italy,Naples,NAP,ONTIME,185
903,London,Luton,LTN,01/12/2024,19:30,Italy,Naples,NAP,DELAYED,185
904,Italy,Naples,NAP,01/12/2024,10:30,London,Luton,LTN,ONTIME,185
905,Italy,Naples,NAP,01/12/2024,12:00,London,Luton,LTN,ONTIME,185
906,Italy,Naples,NAP,01/12/2024,16:30,London,Luton,LTN,ONTIME,185
907,London,London City,LCY,01/12/2024,07:30,Italy,Rome,FCO,ONTIME,250
908,London,London City,LCY,01/12/2024,21:00,Italy,Rome,FCO,ONTIME,250
909,Italy,Rome,FCO,01/12/2024,07:30,London,London City,LCY,ONTIME,250
910,Italy,Rome,FCO,01/12/2024,09:00,London,London City,LCY,ONTIME,250
911,Italy,Rome,FCO,01/12/2024,13:30,London,London City,LCY,ONTIME,250
912,Italy,Milan,MXP,01/12/2024,07:30,London,London City,LCY,ONTIME,240
913,London,London City,LCY,01/12/2024,15:00,Italy,Venice,VCE,ONTIME,245
914,London,London City,LCY,01/12/2024,16:30,Italy,Venice,VCE,ONTIME,245
915,London,London City,LCY,01/12/2024,19:30,Italy,Venice,VCE,ONTIME,245
916,Italy,Florence,FLR,01/12/2024,15:00,London,London City,LCY,ONTIME,235
917,Italy,Florence,FLR,01/12/2024,16:30,London,London City,LCY,ONTIME,235
918,Italy,Florence,FLR,01/12/2024,21:00,London,London City,LCY,ONTIME,235
919,London,London City,LCY,01/12/2024,09:00,Italy,Naples,NAP,DELAYED,260
920,London,London City,LCY,01/12/2024,10:30,Italy,Naples,NAP,ONTIME,260
921,London,London City,LCY,01/12/2024,16:30,Italy,Naples,NAP,ONTIME,260
922,Italy,Naples,NAP,01/12/2024,21:00,London,London City,LCY,ONTIME,260
923,Italy,Rome,FCO,02/12/2024,07:30,London,Heathrow,LHR,ONTIME,220
924,Italy,Milan,MXP,02/12/2024,13:30,London,Heathrow,LHR,ONTIME,200
925,Italy,Milan,MXP,02/12/2024,19:30,London,Heathrow,LHR,ONTIME,200
926,London,Heathrow,LHR,02/12/2024,10:30,Italy,Venice,VCE,ONTIME,210
927,London,Heathrow,LHR,02/12/2024,12:00,Italy,Venice,VCE,ONTIME,210
928,London,Heathrow,LHR,02/12/2024,15:00,Italy,Venice,VCE,DELAYED,210
929,Italy,Venice,VCE,02/12/2024,12:00,London,Heathrow,LHR,ONTIME,210
930,Italy,Florence,FLR,02/12/2024,19:30,London,Heathrow,LHR,ONTIME,205
931,London,Heathrow,LHR,02/12/2024,15:00,Italy,Naples,NAP,ONTIME,230
932,Italy,Naples,NAP,02/12/2024,13:30,London,Heathrow,LHR,DELAYED,230
933,Italy,Naples,NAP,02/12/2024,16:30,London,Heathrow,LHR,ONTIME,230
934,Italy,Naples,NAP,02/12/2024,19:30,London,Heathrow,LHR,ONTIME,230
935,Italy,Rome,FCO,02/12/2024,10:30,London,Gatwick,LGW,ONTIME,200
936,London,Gatwick,LGW,02/12/2024,16:30,Italy,Milan,MXP,DELAYED,190
937,Italy,Milan,MXP,02/12/2024,19:30,London,Gatwick,LGW,ONTIME,190
938,London,Gatwick,LGW,02/12/2024,12:00,Italy,Venice,VCE,ONTIME,195
939,London,Gatwick,LGW,02/12/2024,10:30,Italy,Florence,FLR,ONTIME,185
940,London,Gatwick,LGW,02/12/2024,12:00,Italy,Florence,FLR,DELAYED,185
941,London,Gatwick,LGW,02/12/2024,19:30,Italy,Florence,FLR,ONTIME,185
942,Italy,Florence,FLR,02/12/2024,07:30,London,Gatwick,LGW,DELAYED,185
943,Italy,Florence,FLR,02/12/2024,18:00,London,Gatwick,LGW,ONTIME,185
944,Italy,Florence,FLR,02/12/2024,19:30,London,Gatwick,LGW,ONTIME,185
945,London,Gatwick,LGW,02/12/2024,09:00,Italy,Naples,NAP,ONTIME,210
946,Italy,Naples,NAP,02/12/2024,16:30,London,Gatwick,LGW,ONTIME,210
947,Italy,Naples,NAP,02/12/2024,18:00,London,Gatwick,LGW,ONTIME,210
948,Italy,Naples,NAP,02/12/2024,21:00,London,Gatwick,LGW,ONTIME,210
949,Italy,Rome,FCO,02/12/2024,07:30,London,Stansted,STN,ONTIME,180
950,Italy,Rome,FCO,02/12/2024,09:00,London,Stansted,STN,ONTIME,180
951,Italy,Rome,FCO,02/12/2024,15:00,London,Stansted,STN,ONTIME,180
952,London,Stansted,STN,02/12/2024,06:00,Italy,Milan,MXP,ONTIME,175
953,London,Stansted,STN,02/12/2024,10:30,Italy,Milan,MXP,ONTIME,175
954,London,Stansted,STN,02/12/2024,21:00,Italy,Venice,VCE,ONTIME,180
955,Italy,Venice,VCE,02/12/2024,21:00,London,Stansted,STN,DELAYED,180
956,London,Stansted,STN,02/12/2024,13:30,Italy,Florence,FLR,DELAYED,170
957,London,Stansted,STN,02/12/2024,19:30,Italy,Naples,NAP,ONTIME,190
958,London,Luton,LTN,02/12/2024,10:30,Italy,Rome,FCO,ONTIME,175
959,London,Luton,LTN,02/12/2024,12:00,Italy,Rome,FCO,ONTIME,175
960,London,Luton,LTN,02/12/2024,15:00,Italy,Rome,FCO,ONTIME,175
961,Italy,Rome,FCO,02/12/2024,10:30,London,Luton,LTN,ONTIME,175
962,London,Luton,LTN,02/12/2024,12:00,Italy,Milan,MXP,ONTIME,170
963,London,Luton,LTN,02/12/2024,18:00,Italy,Milan,MXP,DELAYED,170
964,Italy,Milan,MXP,02/12/2024,09:00,London,Luton,LTN,DELAYED,170
965,Italy,Venice,VCE,02/12/2024,07:30,London,Luton,LTN,ONTIME,175
966,Italy,Naples,NAP,02/12/2024,10:30,London,Luton,LTN,ONTIME,185
967,Italy,Rome,FCO,02/12/2024,19:30,London,London City,LCY,ONTIME,250
968,London,London City,LCY,02/12/2024,10:30,Italy,Milan,MXP,ONTIME,240
969,London,London City,LCY,02/12/2024,12:00,Italy,Milan,MXP,ONTIME,240
970,Italy,Milan,MXP,02/12/2024,06:00,London,London City,LCY,ONTIME,240
971,Italy,Milan,MXP,02/12/2024,10:30,London,London City,LCY,ONTIME,240
972,London,London City,LCY,02/12/2024,12:00,Italy,Venice,VCE,ONTIME,245
973,London,London City,LCY,02/12/2024,15:00,Italy,Venice,VCE,ONTIME,245
974,London,London City,LCY,02/12/2024,18:00,Italy,Venice,VCE,DELAYED,245
975,Italy,Venice,VCE,02/12/2024,18:00,London,London City,LCY,ONTIME,245
976,London,London City,LCY,02/12/2024,07:30,Italy,Florence,FLR,ONTIME,235
977,London,London City,LCY,02/12/2024,10:30,Italy,Florence,FLR,ONTIME,235
978,London,London City,LCY,02/12/2024,13:30,Italy,Florence,FLR,ONTIME,235
979,Italy,Florence,FLR,02/12/2024,10:30,London,London City,LCY,ONTIME,235
980,Italy,Florence,FLR,02/12/2024,21:00,London,London City,LCY,ONTIME,235
981,Italy,Naples,NAP,02/12/2024,06:00,London,London City,LCY,DELAYED,260
982,Italy,Naples,NAP,02/12/2024,12:00,London,London City,LCY,DELAYED,260
983,London,Heathrow,LHR,03/12/2024,07:30,Italy,Rome,FCO,ONTIME,220
984,London,Heathrow,LHR,03/12/2024,13:30,Italy,Milan,MXP,DELAYED,200
985,London,Heathrow,LHR,03/12/2024,21:00,Italy,Milan,MXP,DELAYED,200
986,Italy,Milan,MXP,03/12/2024,09:00,London,Heathrow,LHR,DELAYED,200
987,Italy,Venice,VCE,03/12/2024,12:00,London,Heathrow,LHR,DELAYED,210
988,Italy,Venice,VCE,03/12/2024,16:30,London,Heathrow,LHR,DELAYED,210
989,London,Heathrow,LHR,03/12/2024,10:30,Italy,Florence,FLR,ONTIME,205
990,London,Heathrow,LHR,03/12/2024,21:00,Italy,Florence,FLR,ONTIME,205
991,Italy,Florence,FLR,03/12/2024,06:00,London,Heathrow,LHR,DELAYED,205
992,Italy,Florence,FLR,03/12/2024,12:00,London,Heathrow,LHR,ONTIME,205
993,Italy,Florence,FLR,03/12/2024,19:30,London,Heathrow,LHR,ONTIME,205
994,London,Heathrow,LHR,03/12/2024,12:00,Italy,Naples,NAP,DELAYED,230
995,London,Heathrow,LHR,03/12/2024,15:00,Italy,Naples,NAP,ONTIME,230
996,London,Heathrow,LHR,03/12/2024,21:00,Italy,Naples,NAP,ONTIME,230
997,Italy,Rome,FCO,03/12/2024,15:00,London,Gatwick,LGW,ONTIME,200
998,Italy,Rome,FCO,03/12/2024,16:30,London,Gatwick,LGW,ONTIME,200
999,Italy,Milan,MXP,03/12/2024,10:30,London,Gatwick,LGW,ONTIME,190
1000,London,Gatwick,LGW,03/12/2024,15:00,Italy,Venice,VCE,ONTIME,195
1001,London,Gatwick,LGW,03/12/2024,21:00,Italy,Venice,VCE,DELAYED,195
1002,London,Gatwick,LGW,03/12/2024,16:30,Italy,Florence,FLR,DELAYED,185
1003,London,Gatwick,LGW,03/12/2024,21:00,Italy,Florence,FLR,ONTIME,185
1004,Italy,Florence,FLR,03/12/2024,06:00,London,Gatwick,LGW,ONTIME,185
1005,Italy,Florence,FLR,03/12/2024,10:30,London,Gatwick,LGW,ONTIME,185
1006,Italy,Florence,FLR,03/12/2024,18:00,London,Gatwick,LGW,ONTIME,185
1007,London,Gatwick,LGW,03/12/2024,06:00,Italy,Naples,NAP,ONTIME,210
1008,London,Gatwick,LGW,03/12/2024,15:00,Italy,Naples,NAP,DELAYED,210
1009,London,Gatwick,LGW,03/12/2024,21:00,Italy,Naples,NAP,DELAYED,210
1010,Italy,Naples,NAP,03/12/2024,10:30,London,Gatwick,LGW,ONTIME,210
1011,Italy,Naples,NAP,03/12/2024,18:00,London,Gatwick,LGW,ONTIME,210
1012,Italy,Naples,NAP,03/12/2024,19:30,London,Gatwick,LGW,ONTIME,210
1013,London,Stansted,STN,03/12/2024,07:30,Italy,Rome,FCO,ONTIME,180
1014,London,Stansted,STN,03/12/2024,15:00,Italy,Rome,FCO,ONTIME,180
1015,Italy,Rome,FCO,03/12/2024,07:30,London,Stansted,STN,ONTIME,180
1016,Italy,Milan,MXP,03/12/2024,15:00,London,Stansted,STN,ONTIME,175
1017,London,Stansted,STN,03/12/2024,06:00,Italy,Venice,VCE,ONTIME,180
1018,London,Stansted,STN,03/12/2024,12:00,Italy,Venice,VCE,DELAYED,180
1019,Italy,Venice,VCE,03/12/2024,12:00,London,Stansted,STN,ONTIME,180
1020,Italy,Venice,VCE,03/12/2024,19:30,London,Stansted,STN,DELAYED,180
1021,Italy,Venice,VCE,03/12/2024,21:00,London,Stansted,STN,ONTIME,180
1022,Italy,Florence,FLR,03/12/2024,13:30,London,Stansted,STN,ONTIME,170
1023,Italy,Florence,FLR,03/12/2024,18:00,London,Stansted,STN,DELAYED,170
1024,London,Stansted,STN,03/12/2024,09:00,Italy,Naples,NAP,ONTIME,190
1025,London,Stansted,STN,03/12/2024,13:30,Italy,Naples,NAP,ONTIME,190
1026,London,Stansted,STN,03/12/2024,21:00,Italy,Naples,NAP,ONTIME,190
1027,London,Luton,LTN,03/12/2024,10:30,Italy,Rome,FCO,DELAYED,175
1028,London,Luton,LTN,03/12/2024,16:30,Italy,Rome,FCO,ONTIME,175
1029,London,Luton,LTN,03/12/2024,21:00,Italy,Rome,FCO,ONTIME,175
1030,Italy,Rome,FCO,03/12/2024,07:30,London,Luton,LTN,ONTIME,175
1031,Italy,Rome,FCO,03/12/2024,16:30,London,Luton,LTN,DELAYED,175
1032,Italy,Rome,FCO,03/12/2024,21:00,London,Luton,LTN,ONTIME,175
1033,London,Luton,LTN,03/12/2024,07:30,Italy,Milan,MXP,ONTIME,170
1034,Italy,Milan,MXP,03/12/2024,06:00,London,Luton,LTN,DELAYED,170
1035,Italy,Milan,MXP,03/12/2024,13:30,London,Luton,LTN,ONTIME,170
1036,Italy,Milan,MXP,03/12/2024,19:30,London,Luton,LTN,ONTIME,170
1037,London,Luton,LTN,03/12/2024,06:00,Italy,Venice,VCE,DELAYED,175
1038,London,Luton,LTN,03/12/2024,10:30,Italy,Venice,VCE,ONTIME,175
1039,London,Luton,LTN,03/12/2024,19:30,Italy,Venice,VCE,ONTIME,175
1040,Italy,Venice,VCE,03/12/2024,13:30,London,Luton,LTN,ONTIME,175
1041,London,Luton,LTN,03/12/2024,07:30,Italy,Florence,FLR,ONTIME,165
1042,London,Luton,LTN,03/12/2024,15:00,Italy,Florence,FLR,DELAYED,165
1043,London,Luton,LTN,03/12/2024,18:00,Italy,Florence,FLR,ONTIME,165
1044,London,Luton,LTN,03/12/2024,06:00,Italy,Naples,NAP,ONTIME,185
1045,Italy,Naples,NAP,03/12/2024,16:30,London,Luton,LTN,ONTIME,185
1046,London,London City,LCY,03/12/2024,10:30,Italy,Rome,FCO,ONTIME,250
1047,London,London City,LCY,03/12/2024,12:00,Italy,Milan,MXP,ONTIME,240
1048,London,London City,LCY,03/12/2024,13:30,Italy,Milan,MXP,ONTIME,240
1049,Italy,Milan,MXP,03/12/2024,09:00,London,London City,LCY,ONTIME,240
1050,Italy,Milan,MXP,03/12/2024,15:00,London,London City,LCY,ONTIME,240
1051,Italy,Venice,VCE,03/12/2024,12:00,London,London City,LCY,DELAYED,245
1052,Italy,Naples,NAP,03/12/2024,13:30,London,London City,LCY,ONTIME,260
1053,Italy,Naples,NAP,03/12/2024,19:30,London,London City,LCY,ONTIME,260
1054,Italy,Rome,FCO,04/12/2024,18:00,London,Heathrow,LHR,ONTIME,220
1055,Italy,Milan,MXP,04/12/2024,09:00,London,Heathrow,LHR,DELAYED,200
1056,Italy,Venice,VCE,04/12/2024,10:30,London,Heathrow,LHR,ONTIME,210
1057,Italy,Venice,VCE,04/12/2024,12:00,London,Heathrow,LHR,ONTIME,210
1058,Italy,Venice,VCE,04/12/2024,18:00,London,Heathrow,LHR,ONTIME,210
1059,London,Heathrow,LHR,04/12/2024,15:00,Italy,Florence,FLR,ONTIME,205
1060,Italy,Florence,FLR,04/12/2024,15:00,London,Heathrow,LHR,ONTIME,205
1061,London,Heathrow,LHR,04/12/2024,13:30,Italy,Naples,NAP,DELAYED,230
1062,London,Heathrow,LHR,04/12/2024,16:30,Italy,Naples,NAP,DELAYED,230
1063,London,Heathrow,LHR,04/12/2024,19:30,Italy,Naples,NAP,ONTIME,230
1064,London,Gatwick,LGW,04/12/2024,07:30,Italy,Rome,FCO,DELAYED,200
1065,Italy,Rome,FCO,04/12/2024,06:00,London,Gatwick,LGW,DELAYED,200
1066,Italy,Rome,FCO,04/12/2024,10:30,London,Gatwick,LGW,ONTIME,200
1067,Italy,Rome,FCO,04/12/2024,15:00,London,Gatwick,LGW,ONTIME,200
1068,London,Gatwick,LGW,04/12/2024,13:30,Italy,Milan,MXP,DELAYED,190
1069,Italy,Milan,MXP,04/12/2024,13:30,London,Gatwick,LGW,ONTIME,190
1070,Italy,Milan,MXP,04/12/2024,16:30,London,Gatwick,LGW,ONTIME,190
1071,London,Gatwick,LGW,04/12/2024,06:00,Italy,Venice,VCE,ONTIME,195
1072,London,Gatwick,LGW,04/12/2024,12:00,Italy,Venice,VCE,ONTIME,195
1073,London,Gatwick,LGW,04/12/2024,21:00,Italy,Venice,VCE,DELAYED,195
1074,Italy,Venice,VCE,04/12/2024,07:30,London,Gatwick,LGW,ONTIME,195
1075,Italy,Venice,VCE,04/12/2024,21:00,London,Gatwick,LGW,ONTIME,195
1076,London,Gatwick,LGW,04/12/2024,21:00,Italy,Florence,FLR,DELAYED,185
1077,Italy,Florence,FLR,04/12/2024,09:00,London,Gatwick,LGW,ONTIME,185
1078,Italy,Florence,FLR,04/12/2024,15:00,London,Gatwick,LGW,ONTIME,185
1079,London,Gatwick,LGW,04/12/2024,13:30,Italy,Naples,NAP,ONTIME,210
1080,Italy,Naples,NAP,04/12/2024,06:00,London,Gatwick,LGW,ONTIME,210
1081,Italy,Naples,NAP,04/12/2024,15:00,London,Gatwick,LGW,ONTIME,210
1082,London,Stansted,STN,04/12/2024,16:30,Italy,Rome,FCO,DELAYED,180
1083,Italy,Rome,FCO,04/12/2024,12:00,London,Stansted,STN,ONTIME,180
1084,Italy,Rome,FCO,04/12/2024,13:30,London,Stansted,STN,ONTIME,180
1085,Italy,Rome,FCO,04/12/2024,19:30,London,Stansted,STN,ONTIME,180
1086,London,Stansted,STN,04/12/2024,09:00,Italy,Milan,MXP,DELAYED,175
1087,Italy,Milan,MXP,04/12/2024,12:00,London,Stansted,STN,ONTIME,175
1088,London,Stansted,STN,04/12/2024,15:00,Italy,Venice,VCE,ONTIME,180
1089,London,Stansted,STN,04/12/2024,16:30,Italy,Venice,VCE,ONTIME,180
1090,Italy,Venice,VCE,04/12/2024,07:30,London,Stansted,STN,ONTIME,180
1091,Italy,Venice,VCE,04/12/2024,09:00,London,Stansted,STN,DELAYED,180
1092,Italy,Venice,VCE,04/12/2024,12:00,London,Stansted,STN,ONTIME,180
1093,London,Stansted,STN,04/12/2024,16:30,Italy,Florence,FLR,ONTIME,170
1094,London,Stansted,STN,04/12/2024,21:00,Italy,Florence,FLR,ONTIME,170
1095,Italy,Florence,FLR,04/12/2024,09:00,London,Stansted,STN,ONTIME,170
1096,Italy,Florence,FLR,04/12/2024,10:30,London,Stansted,STN,ONTIME,170
1097,Italy,Naples,NAP,04/12/2024,13:30,London,Stansted,STN,ONTIME,190
1098,Italy,Naples,NAP,04/12/2024,18:00,London,Stansted,STN,ONTIME,190
1099,London,Luton,LTN,04/12/2024,10:30,Italy,Rome,FCO,ONTIME,175
1100,London,Luton,LTN,04/12/2024,19:30,Italy,Rome,FCO,ONTIME,175
1101,London,Luton,LTN,04/12/2024,21:00,Italy,Rome,FCO,ONTIME,175
1102,Italy,Rome,FCO,04/12/2024,07:30,London,Luton,LTN,ONTIME,175
1103,London,Luton,LTN,04/12/2024,06:00,Italy,Milan,MXP,ONTIME,170
1104,London,Luton,LTN,04/12/2024,07:30,Italy,Milan,MXP,ONTIME,170
1105,Italy,Milan,MXP,04/12/2024,09:00,London,Luton,LTN,ONTIME,170
1106,Italy,Milan,MXP,04/12/2024,13:30,London,Luton,LTN,ONTIME,170
1107,London,Luton,LTN,04/12/2024,06:00,Italy,Venice,VCE,ONTIME,175
1108,London,Luton,LTN,04/12/2024,12:00,Italy,Venice,VCE,ONTIME,175
1109,London,Luton,LTN,04/12/2024,13:30,Italy,Venice,VCE,DELAYED,175
1110,Italy,Venice,VCE,04/12/2024,18:00,London,Luton,LTN,DELAYED,175
1111,Italy,Venice,VCE,04/12/2024,19:30,London,Luton,LTN,DELAYED,175
1112,Italy,Venice,VCE,04/12/2024,21:00,London,Luton,LTN,ONTIME,175
1113,London,Luton,LTN,04/12/2024,09:00,Italy,Florence,FLR,ONTIME,165
1114,Italy,Naples,NAP,04/12/2024,06:00,London,Luton,LTN,ONTIME,185
1115,Italy,Naples,NAP,04/12/2024,13:30,London,Luton,LTN,ONTIME,185
1116,Italy,Naples,NAP,04/12/2024,16:30,London,Luton,LTN,ONTIME,185
1117,London,London City,LCY,04/12/2024,07:30,Italy,Rome,FCO,DELAYED,250
1118,London,London City,LCY,04/12/2024,09:00,Italy,Rome,FCO,ONTIME,250
1119,Italy,Rome,FCO,04/12/2024,15:00,London,London City,LCY,ONTIME,250
1120,Italy,Rome,FCO,04/12/2024,16:30,London,London City,LCY,ONTIME,250
1121,Italy,Rome,FCO,04/12/2024,19:30,London,London City,LCY,ONTIME,250
1122,London,London City,LCY,04/12/2024,15:00,Italy,Milan,MXP,ONTIME,240
1123,Italy,Milan,MXP,04/12/2024,10:30,London,London City,LCY,ONTIME,240
1124,London,London City,LCY,04/12/2024,21:00,Italy,Venice,VCE,ONTIME,245
1125,Italy,Venice,VCE,04/12/2024,06:00,London,London City,LCY,ONTIME,245
1126,London,London City,LCY,04/12/2024,12:00,Italy,Florence,FLR,ONTIME,235
1127,Italy,Naples,NAP,04/12/2024,12:00,London,London City,LCY,ONTIME,260
1128,Italy,Naples,NAP,04/12/2024,13:30,London,London City,LCY,ONTIME,260
1129,Italy,Naples,NAP,04/12/2024,21:00,London,London City,LCY,ONTIME,260
1130,London,Heathrow,LHR,05/12/2024,06:00,Italy,Rome,FCO,ONTIME,220
1131,London,Heathrow,LHR,05/12/2024,13:30,Italy,Rome,FCO,ONTIME,220
1132,London,Heathrow,LHR,05/12/2024,19:30,Italy,Rome,FCO,ONTIME,220
1133,Italy,Rome,FCO,05/12/2024,15:00,London,Heathrow,LHR,ONTIME,220
1134,London,Heathrow,LHR,05/12/2024,19:30,Italy,Milan,MXP,DELAYED,200
1135,London,Heathrow,LHR,05/12/2024,13:30,Italy,Venice,VCE,ONTIME,210
